group,subgroup,subgroup url,case description,img url,img name,case id/cover img id,crop r1,crop r2,crop col1,crop col2,tumor type,Notes,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in the axilla,/clients/ultrasoundcases/uploads/lbox_2879.jpg,2879,2879,4,443,3,592,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.4 Cysts pitfalls,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/cysts-pitfalls/,Infected small cyst mimicking a solid lesion. Fluid without signs of malignancy was aspirated,/clients/ultrasoundcases/uploads/lbox_3155.jpg,3155,3155,43,364,83,432,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.4 Cysts pitfalls,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/cysts-pitfalls/,Infected small cyst mimicking a solid lesion. Fluid without signs of malignancy was aspirated,/clients/ultrasoundcases/uploads/lbox_3156.jpg,3156,3155,49,351,88,420,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3694.jpg,3694,3694,16,415,1,596,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3695.jpg,3695,3694,16,413,11,575,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3696.jpg,3696,3694,45,361,3,594,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3697.jpg,3697,3694,45,362,13,575,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3698.jpg,3698,3698,28,392,2,595,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3699.jpg,3699,3698,26,391,145,317,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3700.jpg,3700,3698,32,394,144,306,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3869.jpg,3869,3869,38,401,30,538,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.5 Galactoceles and sebaceous cysts,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/galactoceles-and-sebaceous-cysts/,Sebaceous cyst with a subcutaneous cyst with internal echos in connection with the skin,/clients/ultrasoundcases/uploads/lbox_3870.jpg,3870,3869,42,394,36,527,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.1 Benign cysts with non mass lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/benign-cysts-with-non-mass-lesions/,Benign hypoechoic thin walled cyst,/clients/ultrasoundcases/uploads/lbox_4353.jpg,4353,4353,26,398,13,574,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.1 Benign cysts with non mass lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/benign-cysts-with-non-mass-lesions/,Benign hypoechoic thin walled cyst,/clients/ultrasoundcases/uploads/lbox_4354.jpg,4354,4353,26,400,6,592,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.8 Other benign non cystic lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/other-benign-non-cystic-lesions/,Phyllodes tumor with a hypoechoic lobulated mass,/clients/ultrasoundcases/uploads/lbox_4515.jpg,4515,4515,45,358,57,487,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.8 Other benign non cystic lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/other-benign-non-cystic-lesions/,Phyllodes tumor with a hypoechoic lobulated mass,/clients/ultrasoundcases/uploads/lbox_4516.jpg,4516,4515,44,365,60,485,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.8 Other benign non cystic lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/other-benign-non-cystic-lesions/,Phyllodes tumor with a hypoechoic lobulated mass,/clients/ultrasoundcases/uploads/lbox_4517.jpg,4517,4515,15,417,52,497,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.7 Lipomas,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/lipomas/,Lipoma with an oval compressible mass with a fat density,/clients/ultrasoundcases/uploads/lbox_4898.jpg,4898,4898,13,419,8,585,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.7 Lipomas,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/lipomas/,Lipoma with an oval compressible mass with a fat density,/clients/ultrasoundcases/uploads/lbox_4899.jpg,4899,4898,3,443,3,594,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.10 Ductal lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/ductal-lesions/,Inspissated material in dilatated lactiferous ducts,/clients/ultrasoundcases/uploads/lbox_4900.jpg,4900,4900,31,386,3,594,Benign,,
5.1 Benign lesions | Ultrasound Cases,5.1.1 Benign cysts with non mass lesions,https://www.ultrasoundcases.info/cases/breast-and-axilla/benign-lesions/benign-cysts-with-non-mass-lesions/,Cyst with internal echos caused by inspissated cyst fluid,/clients/ultrasoundcases/uploads/lbox_5226.jpg,5226,5226,4,440,2,594,Benign,,
