size_mb,database
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
2.46,DMR
