size_mb,database
0.79,BUSI_with_GT
1.2,BUSI_with_GT
0.46,BUSI_with_GT
0.8,BUSI_with_GT
1.16,BUSI_with_GT
1.34,BUSI_with_GT
1.35,BUSI_with_GT
1.54,BUSI_with_GT
1.74,BUSI_with_GT
1.4,BUSI_with_GT
1.34,BUSI_with_GT
0.79,BUSI_with_GT
1.21,BUSI_with_GT
0.78,BUSI_with_GT
0.45,BUSI_with_GT
1.2,BUSI_with_GT
1.69,BUSI_with_GT
1.31,BUSI_with_GT
0.78,BUSI_with_GT
1.35,BUSI_with_GT
1.66,BUSI_with_GT
1.21,BUSI_with_GT
1.34,BUSI_with_GT
1.16,BUSI_with_GT
1.68,BUSI_with_GT
1.18,BUSI_with_GT
1.34,BUSI_with_GT
1.19,BUSI_with_GT
1.19,BUSI_with_GT
1.31,BUSI_with_GT
1.32,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
1.36,BUSI_with_GT
1.16,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
0.8,BUSI_with_GT
0.38,BUSI_with_GT
0.39,BUSI_with_GT
1.35,BUSI_with_GT
1.54,BUSI_with_GT
1.35,BUSI_with_GT
1.38,BUSI_with_GT
0.79,BUSI_with_GT
1.11,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
1.37,BUSI_with_GT
0.78,BUSI_with_GT
1.34,BUSI_with_GT
1.34,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
1.11,BUSI_with_GT
1.15,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
1.33,BUSI_with_GT
0.77,BUSI_with_GT
1.37,BUSI_with_GT
1.55,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
1.2,BUSI_with_GT
0.77,BUSI_with_GT
1.1,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
1.35,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
1.09,BUSI_with_GT
1.25,BUSI_with_GT
0.82,BUSI_with_GT
1.32,BUSI_with_GT
1.04,BUSI_with_GT
0.79,BUSI_with_GT
1.33,BUSI_with_GT
0.59,BUSI_with_GT
0.79,BUSI_with_GT
1.37,BUSI_with_GT
1.0,BUSI_with_GT
0.77,BUSI_with_GT
1.88,BUSI_with_GT
0.51,BUSI_with_GT
1.34,BUSI_with_GT
1.28,BUSI_with_GT
1.26,BUSI_with_GT
1.18,BUSI_with_GT
0.76,BUSI_with_GT
1.14,BUSI_with_GT
1.03,BUSI_with_GT
0.76,BUSI_with_GT
0.79,BUSI_with_GT
1.31,BUSI_with_GT
1.05,BUSI_with_GT
1.34,BUSI_with_GT
1.33,BUSI_with_GT
0.76,BUSI_with_GT
1.3,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.45,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.83,BUSI_with_GT
0.81,BUSI_with_GT
0.81,BUSI_with_GT
0.8,BUSI_with_GT
0.75,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.84,BUSI_with_GT
0.72,BUSI_with_GT
0.71,BUSI_with_GT
0.75,BUSI_with_GT
0.72,BUSI_with_GT
0.72,BUSI_with_GT
0.72,BUSI_with_GT
0.78,BUSI_with_GT
0.72,BUSI_with_GT
0.72,BUSI_with_GT
0.71,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
0.79,BUSI_with_GT
0.8,BUSI_with_GT
1.36,BUSI_with_GT
0.8,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.8,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
0.52,BUSI_with_GT
0.56,BUSI_with_GT
0.55,BUSI_with_GT
0.55,BUSI_with_GT
1.35,BUSI_with_GT
0.55,BUSI_with_GT
0.54,BUSI_with_GT
0.56,BUSI_with_GT
0.53,BUSI_with_GT
0.55,BUSI_with_GT
